Sigla,Unidade da Federação,Ano,Região,cov 1a dose,cov 2a dose,num doses,Óbitos,casos,Habitantes,Casos por Milhão,Óbitos por Milhão
AC,Acre,2003,"Região
Norte",99.4,NA,721201,0,0,600595,0,0
AC,Acre,2004,"Região
Norte",123.22,NA,768388,0,0,630328,0,0
AC,Acre,2005,"Região
Norte",95.12,NA,79654,0,0,669736,0,0
AC,Acre,2006,"Região
Norte",90.84,NA,669942,0,0,686652,0,0
AC,Acre,2007,"Região
Norte",109.45,NA,808398,0,0,NA,NA,NA
AC,Acre,2008,"Região
Norte",94.17,NA,1101545,0,0,680075,0,0
AC,Acre,2009,"Região
Norte",103.45,NA,850524,0,0,691132,0,0
AC,Acre,2010,"Região
Norte",96.87,NA,760337,0,0,733559,0,0
AC,Acre,2011,"Região
Norte",105.29,NA,728636,0,0,746386,0,0
AC,Acre,2012,"Região
Norte",90.28,NA,652141,0,0,758786,0,0
AC,Acre,2013,"Região
Norte",95,27.08,740607,0,0,776463,0,0
AC,Acre,2014,"Região
Norte",99.2,61.61,523241,0,0,790101,0,0
AC,Acre,2015,"Região
Norte",84.21,51.69,537768,0,0,803513,0,0
AC,Acre,2016,"Região
Norte",75.71,64.2,462718,0,0,816687,0,0
AC,Acre,2017,"Região
Norte",75.14,57,491815,0,0,829619,0,0
AC,Acre,2018,"Região
Norte",83.11,71.92,468962,0,0,869265,0,0
AC,Acre,2019,"Região
Norte",87.39,78.65,469954,0,0,881935,0,0
AC,Acre,2020,"Região
Norte",59.46,41.2,409841,0,0,894470,0,0
AC,Acre,2021,"Região
Norte",60.2,25.95,363477,0,0,906876,0,0
AC,Acre,2022,"Região
Norte",70.47,37.33,424894,0,0,830018,0,0
AC,Acre,2023,"Região
Norte",80.4,43.08,NA,0,0,NA,NA,NA
AC,Acre,2024,"Região
Norte",87.77,54.68,NA,0,0,880631,0,0
AC,Acre,2025,"Região
Norte",91.27,69.95,NA,0,0,884372,0,0
AL,Alagoas,2003,"Região
Nordeste",99.05,NA,2639163,0,0,2917664,0,0
AL,Alagoas,2004,"Região
Nordeste",123.77,NA,3230065,0,0,2980910,0,0
AL,Alagoas,2005,"Região
Nordeste",110.17,NA,2617337,0,0,3015912,0,0
AL,Alagoas,2006,"Região
Nordeste",103.9,NA,2194063,0,0,3050652,0,0
